Genus,Genus_Nodulation_Status,Type,Legume?,Subfamily,Subanalysis
Eriandra,No,n/a,No,Non-legume,Non-legume
Eriobotrya,No,n/a,No,Non-legume,Non-legume
Eriolobus,No,n/a,No,Non-legume,Non-legume
Eureiandra,No,n/a,No,Non-legume,Non-legume
Exochorda,No,n/a,No,Non-legume,Non-legume
Fagus,No,n/a,No,Non-legume,Non-legume
Fallugia,No,n/a,No,Non-legume,Non-legume
Fatoua,No,n/a,No,Non-legume,Non-legume
Fevillea,No,n/a,No,Non-legume,Non-legume
Ficus,No,n/a,No,Non-legume,Non-legume
Filipendula,No,n/a,No,Non-legume,Non-legume
Forsskaolea,No,n/a,No,Non-legume,Non-legume
Fragaria,No,n/a,No,Non-legume,Non-legume
Frangula,No,n/a,No,Non-legume,Non-legume
Gerrardanthus,No,n/a,No,Non-legume,Non-legume
Gesnouinia,No,n/a,No,Non-legume,Non-legume
Geum,No,n/a,No,Non-legume,Non-legume
Gibbsia,No,n/a,No,Non-legume,Non-legume
Gillenia,No,n/a,No,Non-legume,Non-legume
Girardinia,No,n/a,No,Non-legume,Non-legume
Gironniera,No,n/a,No,Non-legume,Non-legume
Gomphogyne,No,n/a,No,Non-legume,Non-legume
Gonostegia,No,n/a,No,Non-legume,Non-legume
Gouania,No,n/a,No,Non-legume,Non-legume
Granitites,No,n/a,No,Non-legume,Non-legume
Guilfoylia,No,n/a,No,Non-legume,Non-legume
Gurania,No,n/a,No,Non-legume,Non-legume
Guraniopsis,No,n/a,No,Non-legume,Non-legume
Gymnopetalum,No,n/a,No,Non-legume,Non-legume
Gymnostoma,Yes,Actinorhizal,No,Non-legume,Non-legume
Gynostemma,No,n/a,No,Non-legume,Non-legume
Gyrotaenia,No,n/a,No,Non-legume,Non-legume
Halosicyos,No,n/a,No,Non-legume,Non-legume
Hanburia,No,n/a,No,Non-legume,Non-legume
Haroldiella,No,n/a,No,Non-legume,Non-legume
Hebecarpa,No,n/a,No,Non-legume,Non-legume
Helianthostylis,No,n/a,No,Non-legume,Non-legume
Helicostylis,No,n/a,No,Non-legume,Non-legume
Helinus,No,n/a,No,Non-legume,Non-legume
Helmontia,No,n/a,No,Non-legume,Non-legume
Hemiptelea,No,n/a,No,Non-legume,Non-legume
Hemistylus,No,n/a,No,Non-legume,Non-legume
Hemsleya,No,n/a,No,Non-legume,Non-legume
Herpetospermum,No,n/a,No,Non-legume,Non-legume
Hesperhodos,No,n/a,No,Non-legume,Non-legume
Hesperocnide,No,n/a,No,Non-legume,Non-legume
Hesperomeles,No,n/a,No,Non-legume,Non-legume
Heteromeles,No,n/a,No,Non-legume,Non-legume
Heterosamara,No,n/a,No,Non-legume,Non-legume
Hicoria,No,n/a,No,Non-legume,Non-legume
Hicorius,No,n/a,No,Non-legume,Non-legume
Hillebrandia,No,n/a,No,Non-legume,Non-legume
Hippophae,Yes,Actinorhizal,No,Non-legume,Non-legume
Hodgsonia,No,n/a,No,Non-legume,Non-legume
Holodiscus,No,n/a,No,Non-legume,Non-legume
Holoptelea,No,n/a,No,Non-legume,Non-legume
Horkelia,No,n/a,No,Non-legume,Non-legume
Horkeliella,No,n/a,No,Non-legume,Non-legume
Hovenia,No,n/a,No,Non-legume,Non-legume
Hullettia,No,n/a,No,Non-legume,Non-legume
Humulus,No,n/a,No,Non-legume,Non-legume
Hymenosicyos,No,n/a,No,Non-legume,Non-legume
Ibervillea,No,n/a,No,Non-legume,Non-legume
Indofevillea,No,n/a,No,Non-legume,Non-legume
Ivesia,No,n/a,No,Non-legume,Non-legume
Johnstonalia,No,n/a,No,Non-legume,Non-legume
Juglans,No,n/a,No,Non-legume,Non-legume
Kageneckia,No,n/a,No,Non-legume,Non-legume
Karwinskia,No,n/a,No,Non-legume,Non-legume
Kedrostis,No,n/a,No,Non-legume,Non-legume
Kelseya,No,n/a,No,Non-legume,Non-legume
Kentrothamnus,Yes,Actinorhizal,No,Non-legume,Non-legume
Kerria,No,n/a,No,Non-legume,Non-legume
Krugiodendron,No,n/a,No,Non-legume,Non-legume
Lagenaria,No,n/a,No,Non-legume,Non-legume
Laportea,No,n/a,No,Non-legume,Non-legume
Lasiodiscus,No,n/a,No,Non-legume,Non-legume
Lecanthus,No,n/a,No,Non-legume,Non-legume
Lemurosicyos,No,n/a,No,Non-legume,Non-legume
Lepargyrea,No,n/a,No,Non-legume,Non-legume
Leucosidea,No,n/a,No,Non-legume,Non-legume
Leucosyke,No,n/a,No,Non-legume,Non-legume
Lindleya,No,n/a,No,Non-legume,Non-legume
Linnaeosicyos,No,n/a,No,Non-legume,Non-legume
Lithocarpus,No,n/a,No,Non-legume,Non-legume
Lozanella,No,n/a,No,Non-legume,Non-legume
Luetkea,No,n/a,No,Non-legume,Non-legume
Luffa,No,n/a,No,Non-legume,Non-legume
Lyonothamnus,No,n/a,No,Non-legume,Non-legume
Maclura,No,n/a,No,Non-legume,Non-legume
Maddenia,No,n/a,No,Non-legume,Non-legume
Maesopsis,No,n/a,No,Non-legume,Non-legume
Malacomeles,No,n/a,No,Non-legume,Non-legume
Malaisia,No,n/a,No,Non-legume,Non-legume
Malus,No,n/a,No,Non-legume,Non-legume
Maoutia,No,n/a,No,Non-legume,Non-legume
Maquira,No,n/a,No,Non-legume,Non-legume
Marah,No,n/a,No,Non-legume,Non-legume
Margyricarpus,No,n/a,No,Non-legume,Non-legume
Megarrhiza,No,n/a,No,Non-legume,Non-legume
Melancium,No,n/a,No,Non-legume,Non-legume
Melothria,No,n/a,No,Non-legume,Non-legume
Mesogyne,No,n/a,No,Non-legume,Non-legume
Mespilus,No,n/a,No,Non-legume,Non-legume
Metatrophis,No,n/a,No,Non-legume,Non-legume
Micrampelis,No,n/a,No,Non-legume,Non-legume
Microlagenaria,No,n/a,No,Non-legume,Non-legume
Microsechium,No,n/a,No,Non-legume,Non-legume
Milicia,No,n/a,No,Non-legume,Non-legume
Momordica,No,n/a,No,Non-legume,Non-legume
Monnina,No,n/a,No,Non-legume,Non-legume
Morella,Yes,Actinorhizal,No,Non-legume,Non-legume
Morus,No,n/a,No,Non-legume,Non-legume
Moutabea,No,n/a,No,Non-legume,Non-legume
Muellerargia,No,n/a,No,Non-legume,Non-legume
Mukia,No,n/a,No,Non-legume,Non-legume
Muraltia,No,n/a,No,Non-legume,Non-legume
Musanga,No,n/a,No,Non-legume,Non-legume
Myrianthus,No,n/a,No,Non-legume,Non-legume
Myrica,Yes,Actinorhizal,No,Non-legume,Non-legume
Myriocarpa,No,n/a,No,Non-legume,Non-legume
Nanocnide,No,n/a,No,Non-legume,Non-legume
Naucleopsis,No,n/a,No,Non-legume,Non-legume
Neillia,No,n/a,No,Non-legume,Non-legume
Neoachmandra,No,n/a,No,Non-legume,Non-legume
Neoalsomitra,No,n/a,No,Non-legume,Non-legume
Neodistemon,No,n/a,No,Non-legume,Non-legume
Neraudia,No,n/a,No,Non-legume,Non-legume
Nesiota,No,n/a,No,Non-legume,Non-legume
Noltea,No,n/a,No,Non-legume,Non-legume
Nothocnide,No,n/a,No,Non-legume,Non-legume
Nothofagus,No,n/a,No,Non-legume,Non-legume
Notholithocarpus,No,n/a,No,Non-legume,Non-legume
Nuttallia,No,n/a,No,Non-legume,Non-legume
Nylandtia,No,n/a,No,Non-legume,Non-legume
Obetia,No,n/a,No,Non-legume,Non-legume
Ochetophila,No,n/a,No,Non-legume,Non-legume
Octomeles,No,n/a,No,Non-legume,Non-legume
Odosicyos,No,n/a,No,Non-legume,Non-legume
Oemleria,No,n/a,No,Non-legume,Non-legume
Oreocnide,No,n/a,No,Non-legume,Non-legume
Oreomunnea,No,n/a,No,Non-legume,Non-legume
Oreosyce,No,n/a,No,Non-legume,Non-legume
Orthurus,No,n/a,No,Non-legume,Non-legume
Osteomeles,No,n/a,No,Non-legume,Non-legume
Ostrya,No,n/a,No,Non-legume,Non-legume
Ostryopsis,No,n/a,No,Non-legume,Non-legume
Paliurus,No,n/a,No,Non-legume,Non-legume
Parasicyos,No,n/a,No,Non-legume,Non-legume
Parasponia,Yes,Rhizobial,No,Non-legume,Non-legume
Parietaria,No,n/a,No,Non-legume,Non-legume
Pellionia,No,n/a,No,Non-legume,Non-legume
Pentactina,No,n/a,No,Non-legume,Non-legume
Pentaphylloides,No,n/a,No,Non-legume,Non-legume
Pentaphyllum,No,n/a,No,Non-legume,Non-legume
Pepo,No,n/a,No,Non-legume,Non-legume
Peponium,No,n/a,No,Non-legume,Non-legume
Peponopsis,No,n/a,No,Non-legume,Non-legume
Peraphyllum,No,n/a,No,Non-legume,Non-legume
Perebea,No,n/a,No,Non-legume,Non-legume
Petelotiella,No,n/a,No,Non-legume,Non-legume
Petrophytum,No,n/a,No,Non-legume,Non-legume
Phenax,No,n/a,No,Non-legume,Non-legume
Photinia,No,n/a,No,Non-legume,Non-legume
Phylica,No,n/a,No,Non-legume,Non-legume
Phyllostylon,No,n/a,No,Non-legume,Non-legume
Physocarpus,No,n/a,No,Non-legume,Non-legume
Pilea,No,n/a,No,Non-legume,Non-legume
Pilogyne,No,n/a,No,Non-legume,Non-legume
Pilostaxis,No,n/a,No,Non-legume,Non-legume
Pilostyles,No,n/a,No,Non-legume,Non-legume
Pipturus,No,n/a,No,Non-legume,Non-legume
Planera,No,n/a,No,Non-legume,Non-legume
Platycarya,No,n/a,No,Non-legume,Non-legume
Poga,No,n/a,No,Non-legume,Non-legume
Poikilospermum,No,n/a,No,Non-legume,Non-legume
Polyclathra,No,n/a,No,Non-legume,Non-legume
Polygala,No,n/a,No,Non-legume,Non-legume
Polygaloides,No,n/a,No,Non-legume,Non-legume
Polygonanthus,No,n/a,No,Non-legume,Non-legume
Polylepis,No,n/a,No,Non-legume,Non-legume
Pomaderris,No,n/a,No,Non-legume,Non-legume
Potentilla,No,n/a,No,Non-legume,Non-legume
Poulsenia,No,n/a,No,Non-legume,Non-legume
Pourouma,No,n/a,No,Non-legume,Non-legume
Pouzolzia,No,n/a,No,Non-legume,Non-legume
Praecitrullus,No,n/a,No,Non-legume,Non-legume
Prinsepia,No,n/a,No,Non-legume,Non-legume
Procris,No,n/a,No,Non-legume,Non-legume
Prunus,No,n/a,No,Non-legume,Non-legume
Pseudocyclanthera,No,n/a,No,Non-legume,Non-legume
Pseudolmedia,No,n/a,No,Non-legume,Non-legume
Pseudomorus,No,n/a,No,Non-legume,Non-legume
Pseudosicydium,No,n/a,No,Non-legume,Non-legume
Psiguria,No,n/a,No,Non-legume,Non-legume
Pterocarya,No,n/a,No,Non-legume,Non-legume
Pteroceltis,No,n/a,No,Non-legume,Non-legume
Pteromonnina,No,n/a,No,Non-legume,Non-legume
Pteropepon,No,n/a,No,Non-legume,Non-legume
Purshia,Yes,Actinorhizal,No,Non-legume,Non-legume
Pyracantha,No,n/a,No,Non-legume,Non-legume
Pyrus,No,n/a,No,Non-legume,Non-legume
Quercus,No,n/a,No,Non-legume,Non-legume
Quillaja,No,n/a,No,Non-legume,Non-legume
Raphidiocystis,No,n/a,No,Non-legume,Non-legume
Recchia,No,n/a,No,Non-legume,Non-legume
Reissekia,No,n/a,No,Non-legume,Non-legume
Retanilla,Yes,Actinorhizal,No,Non-legume,Non-legume
Reynosia,No,n/a,No,Non-legume,Non-legume
Rhamnella,No,n/a,No,Non-legume,Non-legume
Rhamnidium,No,n/a,No,Non-legume,Non-legume
Rhamnus,No,n/a,No,Non-legume,Non-legume
Rhaphiolepis,No,n/a,No,Non-legume,Non-legume
Rhinotropis,No,n/a,No,Non-legume,Non-legume
Rhodotypos,No,n/a,No,Non-legume,Non-legume
Rhoiptelea,No,n/a,No,Non-legume,Non-legume
Robinsoniodendron,No,n/a,No,Non-legume,Non-legume
Rosa,No,n/a,No,Non-legume,Non-legume
Rousselia,No,n/a,No,Non-legume,Non-legume
Rubus,No,n/a,No,Non-legume,Non-legume
Ruthalicia,No,n/a,No,Non-legume,Non-legume
Rytidostylis,No,n/a,No,Non-legume,Non-legume
Sageretia,No,n/a,No,Non-legume,Non-legume
Salomonia,No,n/a,No,Non-legume,Non-legume
Sanguisorba,No,n/a,No,Non-legume,Non-legume
Sarcochlamys,No,n/a,No,Non-legume,Non-legume
Sarcomphalus,No,n/a,No,Non-legume,Non-legume
Sarcopilea,No,n/a,No,Non-legume,Non-legume
Sarcopoterium,No,n/a,No,Non-legume,Non-legume
Schistocarpaea,No,n/a,No,Non-legume,Non-legume
Schizocarpum,No,n/a,No,Non-legume,Non-legume
Schizopepon,No,n/a,No,Non-legume,Non-legume
Scopella,No,n/a,No,Non-legume,Non-legume
Scopellaria,No,n/a,No,Non-legume,Non-legume
Scutia,No,n/a,No,Non-legume,Non-legume
Scyphosyce,No,n/a,No,Non-legume,Non-legume
Sechiopsis,No,n/a,No,Non-legume,Non-legume
Sechium,No,n/a,No,Non-legume,Non-legume
Securidaca,No,n/a,No,Non-legume,Non-legume
Selysia,No,n/a,No,Non-legume,Non-legume
Seyrigia,No,n/a,No,Non-legume,Non-legume
Shepherdia,Yes,Actinorhizal,No,Non-legume,Non-legume
Sibbaldia,No,n/a,No,Non-legume,Non-legume
Sibbaldianthe,No,n/a,No,Non-legume,Non-legume
Sibbaldiopsis,No,n/a,No,Non-legume,Non-legume
Sibiraea,No,n/a,No,Non-legume,Non-legume
Sicana,No,n/a,No,Non-legume,Non-legume
Sicydium,No,n/a,No,Non-legume,Non-legume
Sicyocarya,No,n/a,No,Non-legume,Non-legume
Sicyocaulis,No,n/a,No,Non-legume,Non-legume
Sicyos,No,n/a,No,Non-legume,Non-legume
Sicyosperma,No,n/a,No,Non-legume,Non-legume
Sieversia,No,n/a,No,Non-legume,Non-legume
Sinobaijiania,No,n/a,No,Non-legume,Non-legume
Siolmatra,No,n/a,No,Non-legume,Non-legume
Siraitia,No,n/a,No,Non-legume,Non-legume
Skottsbergiliana,No,n/a,No,Non-legume,Non-legume
Sloetiopsis,No,n/a,No,Non-legume,Non-legume
Smythea,No,n/a,No,Non-legume,Non-legume
Soleirolia,No,n/a,No,Non-legume,Non-legume
Solena,No,n/a,No,Non-legume,Non-legume
Sorbaria,No,n/a,No,Non-legume,Non-legume
Sorbaronia,No,n/a,No,Non-legume,Non-legume
Sorbocotoneaster,No,n/a,No,Non-legume,Non-legume
Sorbopyrus,No,n/a,No,Non-legume,Non-legume
Sorbus,No,n/a,No,Non-legume,Non-legume
Sorocea,No,n/a,No,Non-legume,Non-legume
Spenceria,No,n/a,No,Non-legume,Non-legume
Spiraea,No,n/a,No,Non-legume,Non-legume
Spiraeanthus,No,n/a,No,Non-legume,Non-legume
Spyridium,No,n/a,No,Non-legume,Non-legume
Stenanthemum,No,n/a,No,Non-legume,Non-legume
Stephanandra,No,n/a,No,Non-legume,Non-legume
Streblus,No,n/a,No,Non-legume,Non-legume
Suriana,No,n/a,No,Non-legume,Non-legume
Taxotrophis,No,n/a,No,Non-legume,Non-legume
Tecunumania,No,n/a,No,Non-legume,Non-legume
Telfairia,No,n/a,No,Non-legume,Non-legume
Tetraglochin,No,n/a,No,Non-legume,Non-legume
Tetrameles,No,n/a,No,Non-legume,Non-legume
Thladiantha,No,n/a,No,Non-legume,Non-legume
Ticodendron,No,n/a,No,Non-legume,Non-legume
Touchardia,No,n/a,No,Non-legume,Non-legume
Toxylon,No,n/a,No,Non-legume,Non-legume
Treculia,No,n/a,No,Non-legume,Non-legume
Trema,No,n/a,No,Non-legume,Non-legume
Trevoa,Yes,Actinorhizal,No,Non-legume,Non-legume
Trichocephalus,No,n/a,No,Non-legume,Non-legume
Trichosanthes,No,n/a,No,Non-legume,Non-legume
Triclisperma,No,n/a,No,Non-legume,Non-legume
Tricyclandra,No,n/a,No,Non-legume,Non-legume
Trigonobalanus,No,n/a,No,Non-legume,Non-legume
Trilepisium,No,n/a,No,Non-legume,Non-legume
Trochomeria,No,n/a,No,Non-legume,Non-legume
Trochomeriopsis,No,n/a,No,Non-legume,Non-legume
Trophis,No,n/a,No,Non-legume,Non-legume
Trymalium,No,n/a,No,Non-legume,Non-legume
Trymatococcus,No,n/a,No,Non-legume,Non-legume
Tumamoca,No,n/a,No,Non-legume,Non-legume
Ulmus,No,n/a,No,Non-legume,Non-legume
Urera,No,n/a,No,Non-legume,Non-legume
Urtica,No,n/a,No,Non-legume,Non-legume
Urticastrum,No,n/a,No,Non-legume,Non-legume
Utsetela,No,n/a,No,Non-legume,Non-legume
Vanieria,No,n/a,No,Non-legume,Non-legume
Vaseyanthus,No,n/a,No,Non-legume,Non-legume
Vauquelinia,No,n/a,No,Non-legume,Non-legume
Ventilago,No,n/a,No,Non-legume,Non-legume
Villebrunea,No,n/a,No,Non-legume,Non-legume
Waldsteinia,No,n/a,No,Non-legume,Non-legume
Wilbrandia,No,n/a,No,Non-legume,Non-legume
Woronowia,No,n/a,No,Non-legume,Non-legume
Xanthophyllum,No,n/a,No,Non-legume,Non-legume
Xerosicyos,No,n/a,No,Non-legume,Non-legume
Xerospiraea,No,n/a,No,Non-legume,Non-legume
Zanonia,No,n/a,No,Non-legume,Non-legume
Zehneria,No,n/a,No,Non-legume,Non-legume
Zelkova,No,n/a,No,Non-legume,Non-legume
Ziziphus,No,n/a,No,Non-legume,Non-legume
Zygosicyos,No,n/a,No,Non-legume,Papilionoideae
Abrus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Acmispon,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Acosmium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Adenocarpus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Adenodolichos,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Adesmia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Aenictophyton,Unknown,n/a,Yes,Papilionoideae,Papilionoideae
Aeschynomene,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Afgekia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Aganope,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Airyantha,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Akschindlium,Unknown,n/a,Yes,Papilionoideae,Papilionoideae
Aldina,No,n/a,Yes,Papilionoideae,Papilionoideae
Alexa,No,n/a,Yes,Papilionoideae,Papilionoideae
Alhagi,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Alistilus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Almaleea,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Alysicarpus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Amburana,No,n/a,Yes,Papilionoideae,Papilionoideae
Amicia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Ammodendron,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Ammopiptanthus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Amorpha,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Amphicarpaea,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Amphimas,No,n/a,Yes,Papilionoideae,Papilionoideae
Amphiodon,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Amphithalea,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Anarthrophyllum,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Ancistrotropis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Andira,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Angylocalyx,No,n/a,Yes,Papilionoideae,Papilionoideae
Antheroporum,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Anthyllis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Antopetitia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Aotus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Apios,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Apoplanesia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Apurimacia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Arachis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Argyrocytisus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Argyrolobium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Arthroclianthus,Unknown,n/a,Yes,Papilionoideae,Papilionoideae
Aspalathus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Astragalus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Ateleia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Austrodolichos,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Austrosteenisia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Baphia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Baphiastrum,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Baphiopsis,No,n/a,Yes,Papilionoideae,Papilionoideae
Baptisia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Barbieria,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Behaimia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Biserrula,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Bituminaria,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Bobgunnia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Bocoa,No,n/a,Yes,Papilionoideae,Papilionoideae
Bolusafra,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Bolusanthus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Bolusia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Bossiaea,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Bouffordia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Bowdichia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Bowringia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Brongniartia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Brya,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Bryaspis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Butea,No,n/a,Yes,Papilionoideae,Papilionoideae
Cadia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Cajanus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Calicotome,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Callerya,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Calobota,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Calophaca,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Calopogonium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Calpurnia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Camoensia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Camptosema,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Campylotropis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Canavalia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Caragana,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Carmichaelia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Cascaronia,Unknown,n/a,Yes,Papilionoideae,Papilionoideae
Castanospermum,No,n/a,Yes,Papilionoideae,Papilionoideae
Centrolobium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Centrosema,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Chadsia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Chaetocalyx,No,n/a,Yes,Papilionoideae,Papilionoideae
Chamaecytisus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Chapmannia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Chesneya,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Chorizema,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Christia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Cicer,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Cladrastis,No,n/a,Yes,Papilionoideae,Papilionoideae
Clathrotropis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Cleobulia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Clianthus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Clitoria,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Cochlianthus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Cochliasanthus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Codariocalyx,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Collaea,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Cologania,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Colutea,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Condylostylis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Cordyla,No,n/a,Yes,Papilionoideae,Papilionoideae
Corethrodendron,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Coronilla,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Coursetia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Craibia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Cranocarpus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Craspedolobium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Cratylia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Cristonia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Crotalaria,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Cullen,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Cyamopsis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Cyathostegia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Cyclocarpa,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Cyclolobium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Cyclopia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Cytisophyllum,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Cytisopsis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Cytisus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Dahlstedtia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Dalbergia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Dalbergiella,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Dalea,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Dalhousiea,No,n/a,Yes,Papilionoideae,Papilionoideae
Daviesia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Decorsea,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Deguelia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Dendrolobium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Dermatophyllum,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Derris,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Desmodiopsis,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Desmodium,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Dewevrea,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Dichilus,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Dicraeopetalum,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
Dillwynia,Yes,Rhizobial,Yes,Papilionoideae,Papilionoideae
